openalex_snapshot_date,peeringdb_rec_snapshot_date,period,iso_i,iso_j,association_strength,log1p_association_strength,knowledge_edge_present,inverse_ubiquity_weighted_shared_asns,shared_asn_count,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,contiguous_border,common_official_language,member_asn_geometric_mean,gdp_geometric_mean,log_member_asn_geometric_mean
2026-07-14,2026-07-15,current_2021_2025,BJ,BW,0.0,0.0,0,0,0,0,0,,0,0,,0,4287.5576171875,0,0,2.23606797749979,22126260951.716526,0.8047189562170503
2026-07-14,2026-07-15,current_2021_2025,BJ,BF,1.3530569481320907,0.855715311803433,1,0.06451612903225806,2,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,812.4222412109375,1,1,8.94427190999916,26051944608.06848,2.191013317336941
2026-07-14,2026-07-15,current_2021_2025,BJ,BI,2.5710347089815815,1.27285538824628,1,0.06451612903225806,2,0,0,,0,0,,0,3146.212646484375,0,1,6.708203932499369,9091698246.48093,1.90333124488516
2026-07-14,2026-07-15,current_2021_2025,BJ,CV,,,0,0,0,1,1,ECOWAS,1,1,ECOWAS,0,3019.588623046875,0,0,5.0,8665475741.16599,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BJ,CM,1.4409364632518655,0.8923817620888045,1,0.06451612903225806,2,0,0,,0,0,,0,1011.89306640625,0,1,9.219544457292887,38049757349.95064,2.2213256282451583
2026-07-14,2026-07-15,current_2021_2025,BJ,TD,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,1480.296142578125,0,1,6.708203932499369,22967601270.92578,1.90333124488516
2026-07-14,2026-07-15,current_2021_2025,BJ,CG,1.7200371419779883,1.0006455353536416,1,0.06451612903225806,2,0,0,,0,0,,0,1827.7882080078125,0,1,6.708203932499369,20014885184.00546,1.90333124488516
2026-07-14,2026-07-15,current_2021_2025,BJ,CD,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,1838.237060546875,0,1,12.24744871391589,47289473959.91597,2.5053176470481278
2026-07-14,2026-07-15,current_2021_2025,BJ,CI,2.004546818953865,1.1001267476139724,1,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,892.0865478515625,0,1,8.366600265340756,49508374680.83546,2.1242476210246797
2026-07-14,2026-07-15,current_2021_2025,BJ,DJ,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,4469.06494140625,0,1,10.0,10658715984.030413,2.302585092994046
2026-07-14,2026-07-15,current_2021_2025,BJ,EG,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,3966.3095703125,0,0,13.784048752090222,94725915049.47293,2.623512036080243
2026-07-14,2026-07-15,current_2021_2025,BJ,ET,0.0,0.0,0,0,0,0,0,,0,0,,0,3983.974609375,0,0,3.872983346207417,55715190432.14569,1.354025100551105
2026-07-14,2026-07-15,current_2021_2025,BJ,GA,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,1003.0142211914062,0,1,6.324555320336759,22943139106.187023,1.8444397270569681
2026-07-14,2026-07-15,current_2021_2025,BJ,GM,0.0,0.0,0,0,0,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,2265.2529296875,0,0,3.1622776601683795,7982310872.440622,1.151292546497023
2026-07-14,2026-07-15,current_2021_2025,BJ,GH,0.0,0.0,0,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,351.994140625,0,0,13.96424004376894,52969128786.77237,2.6364997792818734
2026-07-14,2026-07-15,current_2021_2025,BJ,GN,0.0,0.0,0,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,2065.995849609375,0,1,4.47213595499958,26388641022.822037,1.4978661367769956
2026-07-14,2026-07-15,current_2021_2025,BJ,KE,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3880.66748046875,0,0,29.24038303442689,57789191680.63891,3.37555073446838
2026-07-14,2026-07-15,current_2021_2025,BJ,LS,0.0,0.0,0,0,0,0,0,,0,0,,0,4783.259765625,0,0,3.872983346207417,7951319109.426036,1.354025100551105
2026-07-14,2026-07-15,current_2021_2025,BJ,MG,3.3576124548732547,1.471924305278868,1,0.06451612903225806,2,0,0,,0,0,,0,5658.44677734375,0,1,5.0,21954539994.878487,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BJ,MW,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,4115.60888671875,0,0,7.745966692414834,19143893661.5802,2.04717228111105
2026-07-14,2026-07-15,current_2021_2025,BJ,ML,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,2,CEN-SAD|ECOWAS,1,1365.8934326171875,0,1,5.0,27178877096.85702,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BJ,MU,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,6680.189453125,0,1,10.246950765959598,19923338726.77012,2.3269801750787615
2026-07-14,2026-07-15,current_2021_2025,BJ,MA,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,3220.939697265625,0,1,5.477225575051661,66934913180.69972,1.7005986908310777
2026-07-14,2026-07-15,current_2021_2025,BJ,MZ,1.0217314646792324,0.703954304992937,1,0.06451612903225806,2,0,0,,0,0,,0,4839.58349609375,0,0,9.486832980505138,23425725977.62187,2.2499048351651325
2026-07-14,2026-07-15,current_2021_2025,BJ,NA,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3591.391357421875,0,0,5.477225575051661,19247597145.18229,1.7005986908310777
2026-07-14,2026-07-15,current_2021_2025,BJ,NG,2.9266282875578535,1.3677811155409747,1,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,568.2080688476562,1,0,27.65863337187866,84520865364.81909,3.319937916913268
2026-07-14,2026-07-15,current_2021_2025,BJ,RW,0.6602583906304437,0.5069732472614484,1,0.06451612903225806,2,0,0,,0,0,,0,3173.38037109375,0,1,8.660254037844387,20055042012.584984,2.1587440567681555
2026-07-14,2026-07-15,current_2021_2025,BJ,SN,4.301382238109871,1.6679675861991328,1,0.06451612903225806,2,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,2389.426025390625,0,1,5.0,30151586117.71106,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BJ,SL,0.0,0.0,0,0,0,1,2,CEN-SAD|ECOWAS,1,2,CEN-SAD|ECOWAS,0,1786.6351318359375,0,0,5.0,13541330982.248034,1.6094379124341003
2026-07-14,2026-07-15,current_2021_2025,BJ,ZA,0.11925974775622984,0.11266752728683385,1,0.06451612903225806,2,0,0,,0,0,,0,4519.95947265625,0,0,56.34713834792323,102442129789.6632,4.031531455663396
2026-07-14,2026-07-15,current_2021_2025,BJ,SD,0.0,0.0,0,0.06451612903225806,2,1,1,CEN-SAD,1,1,CEN-SAD,0,3397.618408203125,0,0,4.47213595499958,38444513309.72851,1.4978661367769956
2026-07-14,2026-07-15,current_2021_2025,BJ,TZ,0.0,0.0,0,0.06451612903225806,2,0,0,,0,0,,0,3922.735595703125,0,0,14.66287829861518,47058506847.04967,2.6853190140638312
