openalex_snapshot_date,peeringdb_rec_snapshot_date,macro_reference_year,period,iso_i,iso_j,coauth_full,coauth_fractional,association_strength,log1p_association_strength,knowledge_edge_present,network_primary_defined,network_defined_excluding_ambiguous_ixps,shared_asn_count,inverse_ubiquity_weighted_shared_asns,asn_jaccard_similarity,asn_cosine_similarity,inverse_ubiquity_excluding_asns_ge_25pct,inverse_ubiquity_excluding_asns_ge_50pct,inverse_ubiquity_excluding_ambiguous_ixps,shared_asn_count_operational_only,shared_asn_count_zero_coded_55,inverse_ubiquity_zero_coded_55,member_asns_i,member_asns_j,member_asn_geometric_mean,log_member_asn_geometric_mean,log1p_member_asn_geometric_mean,shared_rec_any,shared_rec_count,shared_recs,shared_rec_any_2021,shared_rec_count_2021,shared_recs_2021,rec_tie_changed_2021_to_2025,distance_capital_km,log_distance_capital_km,distance_population_weighted_km,contiguous_border,common_official_language,gdp_current_usd_i,gdp_current_usd_j,gdp_geometric_mean,log_gdp_geometric_mean,population_i,population_j,population_geometric_mean,log_population_geometric_mean,h2_control_complete,h2_outcome_defined,h2_model_complete
2026-07-14,2026-07-15,2025,current_2021_2025,AO,ML,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.0625,0.16609095970747995,0,0,0.06451612903225806,2,2,0.06451612903225806,29,5,12.041594578792296,2.488366871210287,2.568143832672187,0,0,,0,0,,0,3352.42919921875,8.117440496131561,3462.445779349613,0,0,122174889423.635,30069148580.7688,60611013049.76084,24.827742447004553,39040039.0,25198821.0,31364995.689367134,17.261203042078478,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,MU,0,0.0,0.0,0.0,0,1,1,3,0.2645161290322581,0.06382978723404255,0.12156613477096616,0.2,0.2,0.2645161290322581,3,3,0.2645161290322581,29,21,24.677925358506133,3.2059091338549486,3.2456316873380504,1,1,SADC,1,1,SADC,0,4915.37158203125,8.500122631357636,4828.118730761242,0,0,122174889423.635,16157804491.7614,44430597307.59493,24.51719419759398,39040039.0,1243741.0,6968191.813225222,15.756866324865966,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,MA,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.06060606060606061,0.15161960871578067,0,0,0.06451612903225806,2,2,0.06451612903225806,29,6,13.19090595827292,2.5795276496072646,2.6526013339734855,0,0,,0,0,,0,5221.76220703125,8.560590211460706,5301.950725461102,0,0,122174889423.635,182374250612.28,149270070349.93185,25.72902305488462,39040039.0,38430770.0,38734206.58281295,17.472233658627125,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,MZ,0,0.0,0.0,0.0,0,1,1,4,0.37403993855606754,0.09302325581395349,0.1750752438129634,0.30952380952380953,0.30952380952380953,0.37403993855606754,4,4,0.37403993855606754,29,18,22.847319317591726,3.1288337939413196,3.171671813432016,1,1,SADC,1,1,SADC,0,2794.27685546875,7.9353286241952,2664.9133316375733,0,1,122174889423.635,22337997046.1913,52241193698.68865,24.6791371719347,39040039.0,35631653.0,37296931.814218536,17.43442162423929,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,NA,0,0.0,0.0,0.0,0,1,1,3,0.23118279569892472,0.09375,0.227429413073671,0.16666666666666666,0.16666666666666666,0.23118279569892472,3,3,0.23118279569892472,29,6,13.19090595827292,2.5795276496072646,2.6526013339734855,1,1,SADC,1,1,SADC,0,1582.8753662109375,7.366998324128836,1424.0210655915498,1,0,122174889423.635,15080340653.5276,42923640943.13857,24.482688582032186,39040039.0,3092816.0,10988341.87945679,16.21234543960632,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,NG,0,0.0,0.0,0.0,0,1,1,9,1.518484383000512,0.05202312138728324,0.13511320473331348,1.3428571428571427,1.453968253968254,1.518484383000512,9,9,1.518484383000512,29,153,66.61080993352356,4.198866875689455,4.21376788052386,0,0,,0,0,,0,2115.09814453125,7.656856494437433,2209.7616505457877,0,0,122174889423.635,290794361542.112,188488113594.52902,25.96230078399229,39040039.0,237527782.0,96296904.79378606,18.382946734961948,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,RW,0,0.0,0.0,0.0,0,1,1,3,0.23118279569892472,0.07317073170731707,0.14383899044561524,0.16666666666666666,0.16666666666666666,0.23118279569892472,3,3,0.23118279569892472,29,15,20.85665361461421,3.037673015544342,3.084505388441503,1,1,ECCAS,1,1,ECCAS,0,2014.3455810546875,7.6080496479602635,1996.5885627820492,0,0,122174889423.635,16372132990.2271,44724305894.11134,24.523782946804587,39040039.0,14569341.0,23849269.188893378,16.98726413285403,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,SN,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.0625,0.16609095970747995,0,0,0.06451612903225806,2,2,0.06451612903225806,29,5,12.041594578792296,2.488366871210287,2.568143832672187,0,0,,0,0,,0,4277.94140625,8.3612271930198,4348.780406812763,0,0,122174889423.635,37006536238.3731,67240385728.18404,24.931539882058473,39040039.0,18931966.0,27186479.930043794,17.11823034629481,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,SL,0,0.0,0.0,0.0,0,1,0,0,0,0.0,0.0,0,0,,0,0,0.0,29,5,12.041594578792296,2.488366871210287,2.568143832672187,0,0,,0,0,,0,3517.933837890625,8.165629118381208,3571.073486376667,0,0,122174889423.635,7464157904.43509,30198222904.91459,24.13104891538772,39040039.0,8819794.0,18555999.076631956,16.736303695092612,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,ZA,0,0.0,0.0,0.0,0,1,1,14,5.685151049667178,0.021538461538461538,0.10316732597612124,5.5095238095238095,5.62063492063492,5.685151049667178,14,14,5.685151049667178,29,635,135.70187913216236,4.910460414439583,4.917802490030173,1,1,SADC,1,1,SADC,0,2458.173583984375,7.807173907642421,2579.672264684391,0,0,122174889423.635,427184325997.307,228453929255.39938,26.154600404437456,39040039.0,64747319.0,50276613.43910746,17.73305058538268,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,SD,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.06451612903225806,0.18569533817705186,0,0,0.06451612903225806,2,2,0.06451612903225806,29,4,10.770329614269007,2.3767950955531822,2.4655819254908544,0,0,,0,0,,0,3447.44873046875,8.145389738046722,3417.5801849230766,0,0,122174889423.635,60162634574.4689,85734259351.61684,25.17451834172982,39040039.0,51662147.0,44909823.35418091,17.62016711172688,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,TZ,0,0.0,0.0,0.0,0,1,1,4,0.3422939068100358,0.058823529411764705,0.1132730943577198,0.16666666666666666,0.2777777777777778,0.3422939068100358,4,4,0.3422939068100358,29,43,35.31288716601915,3.5642479728400183,3.592172696614338,1,1,SADC,1,1,SADC,0,2498.827880859375,7.823577053256614,2596.9737138099194,0,0,122174889423.635,90143496090.4411,104944135934.83685,25.376694006805277,39040039.0,70545865.0,52479646.729839325,17.77593597105762,1,1,1
2026-07-14,2026-07-15,2025,current_2021_2025,AO,TG,0,0.0,0.0,0.0,0,1,1,2,0.06451612903225806,0.05555555555555555,0.12379689211803459,0,0,0.06451612903225806,2,2,0.06451612903225806,29,9,16.15549442140351,2.7822602036613464,2.8423184967288817,0,0,,0,0,,0,2128.469482421875,7.6631584475670556,2363.265580897188,0,0,122174889423.635,11889949067.4697,38113687994.8761,24.36383931951624,39040039.0,8591626.0,18314404.55252133,16.723198442201696,1,1,1
