protocol_version,country_code,iso3,country,mother_sample_55,network_primary_covered,time_core31_flag,resource_period,research_activity_fractional,research_activity_state,research_activity_pct_layer55,research_activity_pct_common39,research_activity_ai_works_sens,research_activity_ai_works_pct_layer55_sens,research_activity_ai_works_pct_common39_sens,technical_snapshot_date,technical_inverse_ubiquity_weighted_degree,technical_state,technical_pct_common39,technical_raw_shared_asn_degree_sens,ixp_count_aux,unique_member_asns_aux,technical_missing_reason,knowledge_period,knowledge_fractional_weighted_degree,knowledge_state,knowledge_pct_layer55,knowledge_pct_common39,knowledge_partner_count_aux,tech_knowledge_signed_gap_common39,tech_knowledge_abs_gap_common39,main_figure_sort_order
v1.0,CI,CIV,Cote d'Ivoire,1,1,1,current_2021_2025,45.99285714285714,Observed positive,50,36.8421052631579,75,48.148148148148145,34.21052631578947,2026-07-15,9,Observed positive,63.1578947368421,89,1,14,,current_2021_2025,13.252380952380951,Observed positive,57.407407407407405,47.36842105263158,17,15.78947368421052,15.78947368421052,28
v1.0,MG,MDG,Madagascar,1,1,1,current_2021_2025,43.535964912280704,Observed positive,48.148148148148145,34.21052631578947,63,46.2962962962963,31.57894736842105,2026-07-15,5.000000000000001,Observed positive,55.26315789473684,89,1,5,,current_2021_2025,2.3735632183908044,Observed positive,25.925925925925927,18.42105263157895,8,36.84210526315789,36.84210526315789,29
v1.0,MZ,MOZ,Mozambique,1,1,1,current_2021_2025,42.07619047619048,Observed positive,46.2962962962963,31.57894736842105,81,50,36.8421052631579,2026-07-15,10.999999999999998,Observed positive,71.05263157894737,85,1,18,,current_2021_2025,3.7142857142857144,Observed positive,33.333333333333336,21.05263157894737,6,50,50,30
v1.0,SO,SOM,Somalia,1,0,0,current_2021_2025,27.667156862745095,Observed positive,44.44444444444444,,49,44.44444444444444,,2026-07-15,,Not observed,,,1,0,IXP record present; no status-ok membership,current_2021_2025,3.491946778711484,Observed positive,31.48148148148148,,11,,,31
v1.0,MR,MRT,Mauritania,1,0,0,current_2021_2025,20.150000000000002,Observed positive,42.592592592592595,,40,42.592592592592595,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,21.7,Observed positive,74.07407407407408,,5,,,32
v1.0,NE,NER,Niger,1,0,0,current_2021_2025,19.1047619047619,Observed positive,40.74074074074074,,33,40.74074074074074,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,5.791575091575091,Observed positive,42.592592592592595,,10,,,33
v1.0,ML,MLI,Mali,1,1,0,current_2021_2025,15.360256410256413,Observed positive,38.888888888888886,28.94736842105263,29,38.888888888888886,28.94736842105263,2026-07-15,2.9999999999999987,Observed positive,31.57894736842105,63,1,5,,current_2021_2025,4.084615384615384,Observed positive,35.18518518518518,23.68421052631579,8,7.89473684210526,7.89473684210526,34
v1.0,CG,COG,Republic of the Congo,1,1,1,current_2021_2025,13.566666666666668,Observed positive,37.03703703703704,26.31578947368421,19,35.18518518518518,23.68421052631579,2026-07-15,3.999999999999999,Observed positive,47.36842105263158,74,2,9,,current_2021_2025,4.633333333333334,Observed positive,37.03703703703704,26.31578947368421,7,21.052631578947373,21.052631578947373,35
v1.0,AO,AGO,Angola,1,1,1,current_2021_2025,11.166666666666666,Observed positive,35.18518518518518,23.68421052631579,16,27.77777777777778,17.105263157894736,2026-07-15,13.999999999999998,Observed positive,80.26315789473684,110,2,29,,current_2021_2025,1,Observed positive,15.74074074074074,5.2631578947368425,1,75,75,36
v1.0,GM,GMB,Gambia,1,1,1,current_2021_2025,10,Observed positive,33.333333333333336,21.05263157894737,16,27.77777777777778,17.105263157894736,2026-07-15,0,Observed zero,2.6315789473684212,0,1,2,,current_2021_2025,1.3333333333333333,Observed positive,18.51851851851852,7.894736842105263,2,-5.263157894736842,5.263157894736842,37
v1.0,TD,TCD,Chad,1,1,0,current_2021_2025,9.833333333333334,Observed positive,31.48148148148148,18.42105263157895,17,31.48148148148148,21.05263157894737,2026-07-15,2.9999999999999987,Observed positive,31.57894736842105,64,1,9,,current_2021_2025,7.999999999999998,Observed positive,48.148148148148145,34.21052631578947,5,-2.6315789473684212,2.6315789473684212,38
v1.0,SL,SLE,Sierra Leone,1,1,0,current_2021_2025,9.7,Observed positive,29.62962962962963,15.789473684210526,15,23.14814814814815,11.842105263157896,2026-07-15,1,Observed positive,9.210526315789474,2,1,5,,current_2021_2025,2,Observed positive,23.14814814814815,14.473684210526315,1,-5.263157894736841,5.263157894736841,39
v1.0,TG,TGO,Togo,1,1,1,current_2021_2025,9.666666666666666,Observed positive,27.77777777777778,13.157894736842104,22,37.03703703703704,26.31578947368421,2026-07-15,3.999999999999999,Observed positive,47.36842105263158,74,1,9,,current_2021_2025,7.833333333333334,Observed positive,46.2962962962963,31.57894736842105,9,15.789473684210531,15.789473684210531,40
v1.0,LR,LBR,Liberia,1,0,0,current_2021_2025,8.916666666666668,Observed positive,25.925925925925927,,18,33.333333333333336,,2026-07-15,,Not observed,,,0,0,No PeeringDB IXP record (not proof of real-world absence),current_2021_2025,2.833333333333333,Observed positive,27.77777777777778,,2,,,41
v1.0,SZ,SWZ,Eswatini,1,0,1,current_2021_2025,6.15,Observed positive,24.074074074074073,,16,27.77777777777778,,2026-07-15,,Not observed,,,1,0,IXP record present; no status-ok membership,current_2021_2025,5.8999999999999995,Observed positive,44.44444444444444,,7,,,42
v1.0,GA,GAB,Gabon,1,1,1,current_2021_2025,5.471428571428572,Observed positive,22.22222222222222,10.526315789473685,15,23.14814814814815,11.842105263157896,2026-07-15,3.9999999999999987,Observed positive,40.78947368421053,76,1,8,,current_2021_2025,1.904761904761905,Observed positive,20.37037037037037,10.526315789473685,6,30.263157894736842,30.263157894736842,43
