omitted_iso2,country,n_countries,n_dyads,coefficient,standardized_effect,ols_se,observed_t,permutation_p_two_sided_plus1,delta_coefficient_from_full,delta_standardized_effect_from_full,same_positive_sign_as_full,same_nonsignificant_5pct_decision_as_full,knowledge_degree_in_h2_sample,infrastructure_degree_in_h2_sample,fractional_ai_output_2021_2025,member_asns,coef_infrastructure,coef_shared_rec_count,coef_contiguous_border,coef_log_distance_capital_km,coef_common_official_language,coef_log_gdp_geometric_mean,coef_log_member_asn_geometric_mean,absolute_delta_standardized_effect,influence_rank
MG,Madagascar,37,666,0.025263625989164817,0.03707717262346062,0.026969919302500638,0.9367334661183946,0.3153684631536846,-0.0032758650602059958,-0.00459085419482512,1,1,8,32,43.535964912280704,5,0.025263625989164817,-0.04202490789002761,0.2541860723475683,-0.1740153210220092,0.35354666898621684,0.0986736504210747,-0.006064027871132479,0.00459085419482512,11
SD,Sudan,37,666,0.032141862447669756,0.046245996480671965,0.027865642250746454,1.1534585192203404,0.22377762223777622,0.0036023713982989425,0.0045779696623862234,1,1,9,31,147.75043290043294,4,0.032141862447669756,-0.04230776837193945,0.28911574791539707,-0.16762935902125273,0.34384200927912817,0.101522832582372,-0.02368090667301433,0.0045779696623862234,12
MA,Morocco,37,666,0.03139855212475942,0.04557532157437821,0.0274762382441982,1.1427529433141905,0.22047795220477953,0.002859061075388608,0.003907294756092465,1,1,19,31,2902.01599520753,6,0.03139855212475942,-0.04981808713534985,0.27112529616425757,-0.17190157589139393,0.3533894871395944,0.08766851217729178,-0.013537131075782721,0.003907294756092465,13
GM,Gambia,37,666,0.03143541122331209,0.04496590359685182,0.028034509619937958,1.1213112570713715,0.22897710228977103,0.0028959201739412743,0.003297876778566078,1,1,1,0,10.0,2,0.03143541122331209,-0.048538706275634,0.26028742127943744,-0.17417677222515593,0.3619324050147429,0.09708160860717435,-0.027891253009482357,0.003297876778566078,14
GN,Guinea,37,666,0.030949050725226357,0.04484587511099779,0.027370602484240877,1.1307405725922852,0.2293770622937706,0.0024095596758555438,0.003177848292712046,1,1,2,31,5.0,4,0.030949050725226357,-0.031189896691521835,0.3211951404417563,-0.16290733934111032,0.3596949050637134,0.10383462144304914,-0.028829088293642214,0.003177848292712046,15
DJ,Djibouti,37,666,0.03102520190929514,0.04482359684245734,0.02747930033696459,1.1290390049546013,0.23107689231076892,0.0024857108599243283,0.0031555700241715987,1,1,1,31,1.4999999999999998,20,0.03102520190929514,-0.04440404817458313,0.27769380778283964,-0.16623441762876412,0.3624561637905198,0.09359724634006408,-0.017769587018964642,0.0031555700241715987,16
RW,Rwanda,37,666,0.026025477630522875,0.03854245794466348,0.02675145528011196,0.9728621249951661,0.2987701229877012,-0.002514013418847938,-0.00312556887362226,1,1,18,32,111.44507956805911,15,0.026025477630522875,-0.04653357160705812,0.2833183699449027,-0.1568859755839954,0.3738068745314434,0.10964191016876691,-0.029044522432823787,0.00312556887362226,17
ZW,Zimbabwe,37,666,0.026431312574350635,0.0387077277364308,0.027369919469575316,0.9657066256161971,0.29887011298870114,-0.002108178475020178,-0.002960299081854939,1,1,11,13,102.97619047619044,2,0.026431312574350635,-0.03628793435692659,0.1933095625411812,-0.16464002190631757,0.3774096450092551,0.11746953441306368,-0.02127547358584551,0.002960299081854939,18
UG,Uganda,37,666,0.027015945442526806,0.038981774043859614,0.027773918271351315,0.972709186315769,0.2976702329767023,-0.0015235456068440068,-0.0026862527744261275,1,1,17,32,155.00997295469912,25,0.027015945442526806,-0.04252564470241513,0.24828718912699227,-0.16699921637060297,0.35116493653635195,0.10314312448731135,-0.019858661317241053,0.0026862527744261275,19
ML,Mali,37,666,0.030203331086500668,0.04419438412377514,0.026847079147848184,1.1250136716984904,0.22927707229277072,0.0016638400371298545,0.0025263573054893976,1,1,8,31,15.360256410256412,5,0.030203331086500668,-0.047374663759808144,0.33083099498958574,-0.1715575947495042,0.37049786571465526,0.11597667974181987,-0.034803509334672196,0.0025263573054893976,20
BW,Botswana,37,666,0.0270598585438368,0.039164907656919136,0.027964098115892868,0.9676642683662249,0.29387061293870614,-0.001479632505534012,-0.0025031191613666057,1,1,15,1,88.80657993966818,1,0.0270598585438368,-0.03728599295608148,0.26889040193768743,-0.15963724494179507,0.3463683707532963,0.10283572533955569,-0.011171273804947634,0.0025031191613666057,21
MW,Malawi,37,666,0.030171129373967043,0.04412731799839435,0.027160395042583163,1.1108501671887883,0.24087591240875914,0.0016316383245962296,0.002459291180108611,1,1,11,31,55.70000000000001,12,0.030171129373967043,-0.06346788503577314,0.3213334506424735,-0.1715650485488579,0.3455036652542405,0.11041760671784738,-0.026376247790410944,0.002459291180108611,22
TG,Togo,37,666,0.02975465839810909,0.04387474740603778,0.02727912255428044,1.0907483676904486,0.24277572242775722,0.0012151673487382775,0.002206720587752037,1,1,8,31,9.666666666666666,9,0.02975465839810909,-0.04496521160183092,0.24308621601041955,-0.1483424706632063,0.3604851336733258,0.10979281636578035,-0.02221127350107107,0.002206720587752037,23
CM,Cameroon,37,666,0.02924915089624014,0.043872270711550664,0.02685430092581662,1.0891793823655715,0.2430756924307569,0.000709659846869326,0.002204243893264922,1,1,26,32,309.6651727357609,17,0.02924915089624014,-0.028790871806951557,0.18539374275727719,-0.16668074752498407,0.3380861816778369,0.10069124861285104,-0.00975876004958324,0.002204243893264922,24
TD,Chad,37,666,0.027493274741218376,0.039832340204501736,0.027546735700499453,0.9980592633601917,0.28177182281771823,-0.0010462163081524367,-0.0018356866137840058,1,1,4,31,9.833333333333334,9,0.027493274741218376,-0.03905462460755066,0.21994155695268602,-0.17375581073790475,0.3685963110342282,0.10854720518529923,-0.023138638773859636,0.0018356866137840058,25
TZ,Tanzania,37,666,0.027489977754217187,0.03988631824895634,0.027477161870318463,1.0004664194926394,0.28517148285171484,-0.0010495132951536257,-0.001781708569329403,1,1,11,32,172.69329004329006,43,0.027489977754217187,-0.03622369891696939,0.2817238400483759,-0.16354274480062939,0.3584591596070362,0.10172148535051938,-0.017740399991543535,0.001781708569329403,26
