model_id,model_role,n_countries,n_dyads,permutations,seed,predictor,predictor_label,coefficient,standard_error_ols,t_observed,standardized_effect,permutation_p_two_sided,permutation_p_two_sided_plus1,random_t_mean,random_t_sd
infra_jaccard,sensitivity,38,703,10000,1978527448,log_distance_capital_km,Log capital distance,-0.16883933365184509,0.033010144169426624,-5.1147711680769,-0.2465076153746503,0.0,9.999000099990002e-05,-0.012649738770676933,1.0725699877451045
infra_jaccard,sensitivity,38,703,10000,1978527448,common_official_language,Common official language,0.351611940499486,0.048852079050918436,7.1974816083672,0.25642453360220296,0.0,9.999000099990002e-05,-0.003997509418800913,1.0472097961098086
infra_jaccard,sensitivity,38,703,10000,1978527448,log_gdp_geometric_mean,Log GDP geometric mean,0.10519701172667474,0.02866083687422784,3.6704096320812294,0.15358900052729701,0.003,0.0030996900309969004,0.025732802531511653,1.2605401214509144
infra_jaccard,sensitivity,38,703,10000,1978527448,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.004909391045691948,0.028875450052828405,-0.17001955075020775,-0.00716777455489536,0.8823,0.8823117688231177,-0.006680714759260908,1.1164716269163508
infra_cosine,sensitivity,38,703,10000,2532763838,infrastructure,Infrastructure co-presence,0.0039023796652523646,0.024368972935923494,0.16013722348961518,0.0056975248880779625,0.8822,0.8822117788221178,0.004343038975635415,1.0783551378520995
infra_cosine,sensitivity,38,703,10000,2532763838,shared_rec_count,Shared REC count,-0.04521531556360858,0.04117701676232199,-1.0980716700434145,-0.04641601287578006,0.2972,0.29727027297270275,-0.0030227829622658325,1.0570062886040326
infra_cosine,sensitivity,38,703,10000,2532763838,contiguous_border,Contiguous border,0.26407566137869765,0.10147663660881723,2.602329661325731,0.11020444971141154,0.0093,0.0093990600939906,0.00629913183239228,1.0067472768109693
infra_cosine,sensitivity,38,703,10000,2532763838,log_distance_capital_km,Log capital distance,-0.16714652049916046,0.033004119523675816,-5.0644138644345995,-0.24403608623201814,0.0001,0.00019998000199980003,-0.010577451605109058,1.0823290195084063
infra_cosine,sensitivity,38,703,10000,2532763838,common_official_language,Common official language,0.3593902108687117,0.04880840512064544,7.363285278024654,0.2620970922440601,0.0,9.999000099990002e-05,0.00281672863813601,1.0679180251138387
infra_cosine,sensitivity,38,703,10000,2532763838,log_gdp_geometric_mean,Log GDP geometric mean,0.10651386337980596,0.028727597359308802,3.7077191680038477,0.15551162100793048,0.0017,0.0017998200179982,-0.020789512739817807,1.2751518567601525
infra_cosine,sensitivity,38,703,10000,2532763838,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.008460499818907473,0.028606679750747824,-0.29575259668806203,-0.012352439387951532,0.7951,0.7951204879512048,0.015673175171342955,1.1139388927104439
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,infrastructure,Infrastructure co-presence,0.02837535439721056,0.030290112261909762,0.9367860426484111,0.04142838517883794,0.3194,0.3194680531946805,0.005017246382623338,1.0052031159320327
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,shared_rec_count,Shared REC count,-0.04512364253564105,0.04072952863055994,-1.10788521381964,-0.04632190546121349,0.2956,0.2956704329567043,0.0026116354372510107,1.0704896432878102
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,contiguous_border,Contiguous border,0.26594758456219464,0.10141866926451877,2.6222744440528385,0.110985643492248,0.0102,0.010298970102989701,-0.0045121164798645605,1.007743780154268
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,log_distance_capital_km,Log capital distance,-0.16641451333536264,0.03291715150548573,-5.0555563201642535,-0.2429673462856911,0.0,9.999000099990002e-05,-0.002000511737908922,1.0818732529614299
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,common_official_language,Common official language,0.3549131476464973,0.04793413560751375,7.4041837439718865,0.25883204712917274,0.0,9.999000099990002e-05,0.014208886453188345,1.0492719618635027
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,log_gdp_geometric_mean,Log GDP geometric mean,0.10525769360175927,0.02863606324113509,3.6757040489615505,0.15367759685138813,0.0023,0.0023997600239976003,0.02651661092067609,1.2571378681187984
infra_raw_shared_asn,sensitivity,38,703,10000,512293922,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.02576106909156131,0.033703768101558416,-0.7643379521819744,-0.03761149475013337,0.4777,0.47775222477752227,0.003953875026942451,1.0856522565958893
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,infrastructure,Infrastructure co-presence,0.027162835366866922,0.026103885839304418,1.0405667391468612,0.03965809167967778,0.2598,0.2598740125987401,-0.013214152956533626,0.9940818370508889
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,shared_rec_count,Shared REC count,-0.04450489246345418,0.04071380142749703,-1.0931156242609354,-0.045686724417809896,0.3,0.3000699930006999,0.0033663807625642795,1.0631478442435456
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,contiguous_border,Contiguous border,0.2669723520400499,0.10142091312661866,2.6323205324206556,0.11141330098779144,0.0084,0.0084991500849915,0.003811893037842129,1.006799211864898
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,log_distance_capital_km,Log capital distance,-0.1661581124967498,0.03291552609913558,-5.04801630684291,-0.24259299773823215,0.0002,0.00029997000299970003,0.022357731067830795,1.0860119898592593
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,common_official_language,Common official language,0.3567138770580697,0.04765088288687321,7.485986731975886,0.26014528808125836,0.0,9.999000099990002e-05,0.009464480125054605,1.0639569560878426
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,log_gdp_geometric_mean,Log GDP geometric mean,0.10555159603867018,0.028606326112388464,3.6897990893335733,0.15410669821840195,0.0019,0.001999800019998,0.011673153058683869,1.2323118850473338
exclude_asns_ge25pct,sensitivity,38,703,10000,351351219,log_member_asn_geometric_mean,Log member-ASN geometric mean,-0.020087933812790563,0.030443525592142997,-0.659842558378815,-0.02932864371643233,0.5548,0.5548445155484452,0.0012642620004968393,1.1047021543344748
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,infrastructure,Infrastructure co-presence,0.027899175813878546,0.02638060490514731,1.0575639153913008,0.04073315827565848,0.2576,0.2576742325767423,0.02695149524042846,1.0082472668637943
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,shared_rec_count,Shared REC count,-0.04457272180162736,0.040713150034313826,-1.0947991438653264,-0.04575635497096998,0.3017,0.3017698230176982,0.0062300303848651884,1.0515889527774729
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,contiguous_border,Contiguous border,0.26693538562452246,0.10141642969351632,2.632072401199783,0.1113978741080111,0.0079,0.007999200079992,0.0005519167335105497,0.9985282887645368
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,log_distance_capital_km,Log capital distance,-0.16604720536115358,0.03291660924908513,-5.0444808608519915,-0.2424310718828492,0.0,9.999000099990002e-05,0.011932483300458794,1.0753161975078112
exclude_asns_ge50pct,sensitivity,38,703,10000,167939175,common_official_language,Common official language,0.3563210665943817,0.04767792712313544,7.473501641003158,0.2598588181741154,0.0,9.999000099990002e-05,0.003224282663544281,1.0641487908859315
